	C1	C2	C3	C4	C5	cluster	confidence
DLBCL11664	0.10873168585771281	0.8725977772809267	0.002583276981687915	0.01464240185750157	0.0014448580221710114	2	0.8725977772809267
DLBCL11003	0.00043532973265698736	0.8508827129158844	0.0007087504025359676	0.00041400682645659854	0.14755920012246607	2	0.8508827129158844
DLBCL10549	0.00016505235518118113	0.8282116499970025	0.16898874791692423	0.0015415009046825013	0.0010930488262096201	2	0.8282116499970025
DLBCL11180	0.0005645743460873188	0.826889880856452	0.0007944242505589058	0.0003782268663193827	0.17137289368058242	2	0.826889880856452
DLBCL_RICOVER_787	0.010598880236009684	0.8142149894207892	0.007600957673171231	0.16622045290505955	0.0013647197649704038	2	0.8142149894207892
DLBCL_RICOVER_1060	0.0006641890004078991	0.8078859459502773	0.0008108558026332479	0.00039792773050051567	0.1902410815161812	2	0.8078859459502773
DLBCL_LS4323	0.21299246053701534	0.7655113413462862	0.0009454678599519589	0.018044204902379367	0.0025065253543671154	2	0.7655113413462862
DLBCL10873	0.0032711745690842745	0.7400536714308925	0.003669154892086214	0.22687988842240153	0.026126110685535386	2	0.7400536714308925
DLBCL10874	0.006886376836066015	0.7375280636204846	0.011797795143512299	0.22745467770204894	0.016333086697888292	2	0.7375280636204846
DLBCL_C_D_PAIR23	0.24841584850022785	0.7304290233574325	0.0008056537227935499	0.0024181923334226285	0.0179312820861234	2	0.7304290233574325
DLBCL11436	0.003697611844712405	0.703310961600451	0.002832279170143487	0.2360768775709737	0.054082269813719226	2	0.703310961600451
DLBCL_RICOVER_780	0.0001869385155577052	0.701172651686547	0.290909958376872	0.006605292376929482	0.00112515904409383	2	0.701172651686547
DLBCL_C_D_1142_NULLPAIR	0.0004897184345454598	0.6928784003697165	0.0008508335067356554	0.002174340006520218	0.3036067076824821	2	0.6928784003697165
DLBCL10503	0.0009758737739250882	0.6842254931720554	0.2638160417552959	0.0011866405760664778	0.049795950722657155	2	0.6842254931720554
DLBCL_BWH_DLBCL64	0.08055157805170438	0.5834327751256436	0.004452740454506087	0.3307111877078082	0.0008517186603377652	2	0.5834327751256436
DLBCL10985	0.014954021507292784	0.5821883371246256	0.00417829982841664	0.3974069658303905	0.001272375709274376	2	0.5821883371246256
